1.1198,1.1155,1.1207,1.1126,0.36
1.1158,1.1141,1.1167,1.1121,0.13
1.1143,1.1187,1.1198,1.1128,-0.41
1.1189,1.1191,1.1208,1.1156,-0.07
1.1197,1.1181,1.1201,1.118,-0.01
1.1198,1.1281,1.1343,1.1177,-0.75
1.1283,1.1262,1.1301,1.1254,0.18
1.1263,1.1303,1.1316,1.1242,-0.38
1.1306,1.1318,1.1357,1.1299,-0.11
1.1319,1.1302,1.1334,1.1269,0.19
1.1298,1.131,1.1322,1.1295,-0.25
1.1326,1.135,1.1363,1.1302,-0.25
1.1354,1.1291,1.1367,1.1281,0.58
1.1288,1.1276,1.1318,1.1239,0.09
1.1278,1.118,1.1324,1.1173,0.84
1.1184,1.1161,1.1203,1.1152,0.18
1.1164,1.1169,1.117,1.1157,0.03
1.1161,1.1136,1.1224,1.1127,0.22
1.1137,1.1173,1.1194,1.1131,-0.36
1.1177,1.1115,1.1193,1.11,0.52
1.1119,1.1087,1.1124,1.1067,0.23
1.1093,1.1085,1.1107,1.107,0.05
1.1087,1.1082,1.1094,1.108,0.02
1.1085,1.1127,1.1162,1.1043,-0.4
1.113,1.1147,1.1158,1.1112,-0.17
1.1149,1.1222,1.1233,1.1137,-0.69
1.1227,1.116,1.1236,1.1153,0.58
1.1162,1.1173,1.1186,1.1153,-0.04
1.1167,1.1175,1.1184,1.1166,-0.06
1.1174,1.1075,1.12,1.1067,0.88
1.1076,1.1056,1.1119,1.1047,0.16
1.1058,1.0982,1.1067,1.0959,0.65
1.0987,1.0995,1.1031,1.0976,-0.06
1.0994,1.0968,1.1002,1.095,0.23
1.0969,1.0973,1.0977,1.0964,-0.06
1.0976,1.1027,1.1042,1.0951,-0.44
1.1025,1.1011,1.106,1.0979,0.09
1.1015,1.1018,1.1032,1.0979,-0.06
1.1022,1.1072,1.1086,1.0998,-0.47
1.1074,1.104,1.1086,1.1035,0.16
1.1056,1.105,1.1061,1.1045,0.18
1.1036,1.1116,1.115,1.1021,-0.76
1.112,1.1087,1.1166,1.1083,0.27
1.109,1.1059,1.1121,1.1041,0.28
1.1059,1.1056,1.1127,1.1048,0.01
1.1058,1.105,1.1076,1.1014,0.13
1.1044,1.105,1.1054,1.1042,-0.1
1.1055,1.106,1.1115,1.0999,-0.07
1.1063,1.1097,1.1113,1.1049,-0.32
1.1099,1.1074,1.1112,1.1029,0.21
1.1076,1.1153,1.1184,1.1058,-0.72
1.1156,1.114,1.1166,1.1095,0.25
1.1128,1.113,1.1138,1.1126,-0.07
1.1136,1.1103,1.1169,1.1069,0.28
1.1105,1.1123,1.1157,1.1022,-0.18
1.1125,1.1063,1.1131,1.1046,0.53
1.1066,1.1024,1.1112,1.1006,0.36
1.1026,1.1068,1.1087,1.0968,-0.13
1.104,1.101,1.1075,1.1008,-0.69
1.1117,1.139,1.1434,1.0909,-2.38
1.1388,1.1294,1.1424,1.1293,0.81
1.1297,1.124,1.1339,1.1234,0.49
1.1242,1.131,1.1351,1.1239,-0.64
1.1314,1.1281,1.1386,1.128,-0.29
1.1347,1.1334,1.1358,1.1308,0.62
1.1277,1.1223,1.1299,1.1218,0.45
1.1226,1.1257,1.1298,1.1129,-0.29
1.1259,1.1203,1.1299,1.1188,0.46
1.1208,1.1291,1.1304,1.1186,-0.74
1.1292,1.1251,1.1304,1.1231,0.47
1.1239,1.1251,1.1254,1.1235,-0.11
1.1251,1.1315,1.1329,1.1243,-0.57
1.1316,1.1397,1.1417,1.1303,-0.68
1.1394,1.1356,1.1412,1.1347,0.32
1.1358,1.1353,1.1382,1.1336,0.03
